"STATE"	"percentage_UTD"
"ALABAMA"	73.6842105263158
"ALASKA"	75.2100840336134
"ARIZONA"	76.0299625468165
"ARKANSAS"	73.4756097560976
"CALIFORNIA"	74.375
"COLORADO"	81.4925373134328
"CONNECTICUT"	79.296875
"DELAWARE"	84.8
"DISTRICT OF COLUMBIA"	86.3829787234043
"FLORIDA"	74.4262295081967
"GEORGIA"	71.5151515151515
"HAWAII"	87.9828326180258
"IDAHO"	77.7327935222672
"ILLINOIS"	82.8250401284109
"INDIANA"	77.34375
"IOWA"	87.9227053140097
"KANSAS"	73.8562091503268
"KENTUCKY"	68.7272727272727
"LOUISIANA"	79.8780487804878
"MAINE"	78.6516853932584
"MARYLAND"	85.2173913043478
"MASSACHUSETTS"	86.5168539325843
"MICHIGAN"	76.3779527559055
"MINNESOTA"	85.4545454545455
"MISSISSIPPI"	56.140350877193
"MISSOURI"	74.2957746478873
"MONTANA"	82.3529411764706
"NEBRASKA"	83.739837398374
"NEVADA"	73.7254901960784
"NEW HAMPSHIRE"	85.7142857142857
"NEW JERSEY"	72.9824561403509
"NEW MEXICO"	81.8518518518518
"NEW YORK"	81.4606741573034
"NORTH CAROLINA"	75.2777777777778
"NORTH DAKOTA"	85.3571428571428
"OHIO"	78.8104089219331
"OKLAHOMA"	70.6122448979592
"OREGON"	81.3953488372093
"PENNSYLVANIA"	83.0666666666667
"PUERTO RICO"	86.5269461077844
"RHODE ISLAND"	94.7183098591549
"SOUTH CAROLINA"	75.3787878787879
"SOUTH DAKOTA"	81.2749003984064
"TENNESSEE"	71.1297071129707
"TEXAS"	73.5969387755102
"UTAH"	76.865671641791
"VERMONT"	87.9310344827586
"VIRGINIA"	80.0675675675676
"WASHINGTON"	81.0035842293907
"WEST VIRGINIA"	70.7818930041152
"WISCONSIN"	82.3529411764706
"WYOMING"	69.4736842105263
